Username,Total_Games_January,Min_RATING_January,Max_RATING_January
Ramanradmard,21,0,0
Marlenek008,81,0,0
SOPHIAANTIPOLIS,56,0,0
MaksiM197,102,0,0
kalameev2288,40,0,0
Henock_B,20,0,0
JhonnyD07,21,0,0
angosans,90,0,0
Leopold1902,16,0,0
richardbaroi55,56,0,0
davaro365bjk,87,0,0
hamedsalem,28,0,0
mohammadrsintj,17,0,0
LudiKiller4ever,26,0,0
Shaxbot,71,0,0
Kepler75,28,0,0
Jero-yt,65,0,0
TempesT_2510,18,0,0
veechess2024,59,0,0
inakidepluton,24,0,0
P19,87,0,0
dm1trio,38,0,0
Sahasra2015,28,0,0
BekzatY,25,0,0
maged862,32,0,0
n-botond1,15,0,0
SAHYConnor,28,0,0
ratkofroberf,247,0,0
Santif04,38,0,0
ahmedt189x,91,0,0
mipslor,28,0,0
default781,29,0,0
timofei12345678,18,0,0
siperius,17,0,0
Lift-1,382,0,0
opsitsme,16,0,0
baziak,73,0,0
monolit153,17,0,0
Mokhtat_momo,15,0,0
sergey_diu,37,0,0
jnet,580,0,0
vko_slca,18,0,0
KUDATERBANG_Rote,72,0,0
Olev777,256,0,0
scorpi60,26,0,0
Acexsmacchia,61,0,0
Leaf64SQ,23,0,0
moldavo,21,0,0
chessguy9333,496,0,0
ahura_dv,20,0,0
mithun567,20,0,0
manupammar,18,0,0
Eslamsalem171,27,0,0
marcojjm,22,0,0
Messinumerouno,96,0,0
gleri13,95,0,0
vladislavkameneckyi,52,0,0
Dacoss03,56,0,0
farshad185,129,0,0
SSWalsh,26,0,0
Fulogr,17,0,0
Dieter,33,0,0
ahmedmemo165790,114,0,0
vavilinserg,459,0,0
Realkevinellis,247,0,0
Harsh3124,20,0,0
sharifiiii,17,0,0
magoomanan,38,0,0
maikolchess,31,0,0
slyjessie,41,0,0
thepawnshop1911,55,0,0
Mikel6,70,0,0
babakordi1360,930,0,0
Elena_Lena,40,0,0
fightingtheworld,21,0,0
aboude99,16,0,0
Ipek_yondem,165,0,0
WeRdChAmPiOn,22,0,0
staminc,126,0,0
Ferchichi2,527,0,0
ArhltLU3000CMS,26,0,0
mlg47,511,0,0
Maks123chess321,22,0,0
Evara659,37,0,0
andruskoNik,29,0,0
ALI-7272,22,0,0
Mike58603,71,0,0
Erickchess1111111,16,0,0
TimothyTamothy,17,0,0
tughannkahraman,18,0,0
ibrahime4e5h7,352,0,0
AboHussnN,108,0,0
GeorgiyKash,100,0,0
DerWoRekt,48,0,0
vladislav_31,34,0,0
kirbitci,320,0,0
Asiered,49,0,0
tompi2010,44,0,0
spwww111,95,0,0
Azat_666_hoth,17,0,0
Valeriy1978,407,0,0
MAPKYC,35,0,0
DenisAG,17,0,0
Maxim_Parhomenko,21,0,0
Aloshgreeny,37,0,0
AsmariteChess,26,0,0
BloodEmperor,23,0,0
josimartattoo,17,0,0
USASAmir,18,0,0
robercavi,23,0,0
Munchapawn,288,0,0
JohnG_137,16,0,0
jbrkozhaN,23,0,0
ali_askari_mahani,34,0,0
MadFeelin,15,0,0
shi-o-ver2323,27,0,0
Onur_2023,39,0,0
Florian-Frexit-UPR,18,0,0
