1) Total Games Played: 98994760

2) Distinct Time Controls and Proportions:

  - 2400+8: 22 games (0.00%)
  - 600+40: 22 games (0.00%)
  - 180+40: 22 games (0.00%)
  - 4500+60: 22 games (0.00%)
  - 420+40: 22 games (0.00%)
  - 90+30: 21 games (0.00%)
  - 9900+0: 21 games (0.00%)
  - 120+30: 21 games (0.00%)
  - 10800+8: 21 games (0.00%)
  - 360+14: 21 games (0.00%)
  - 4500+10: 21 games (0.00%)
  - 600+150: 21 games (0.00%)
  - 660+14: 20 games (0.00%)
  - 7200+1: 20 games (0.00%)
  - 360+19: 20 games (0.00%)
  - 3600+12: 20 games (0.00%)
  - 540+30: 20 games (0.00%)
  - 10800+120: 20 games (0.00%)
  - 2400+180: 20 games (0.00%)
  - 15+15: 20 games (0.00%)
  - 1140+30: 20 games (0.00%)
  - 9000+5: 20 games (0.00%)
  - 1500+13: 19 games (0.00%)
  - 9000+180: 19 games (0.00%)
  - 7200+5: 19 games (0.00%)
  - 1200+35: 19 games (0.00%)
  - 0+16: 19 games (0.00%)
  - 1500+40: 19 games (0.00%)
  - 45+180: 19 games (0.00%)
  - 240+45: 19 games (0.00%)
  - 360+180: 19 games (0.00%)
  - 780+180: 19 games (0.00%)
  - 45+12: 19 games (0.00%)
  - 6300+20: 19 games (0.00%)
  - 8100+10: 19 games (0.00%)
  - 3600+35: 18 games (0.00%)
  - 2100+40: 18 games (0.00%)
  - 180+45: 18 games (0.00%)
  - 9900+180: 18 games (0.00%)
  - 15+35: 18 games (0.00%)
  - 1500+60: 18 games (0.00%)
  - 1020+45: 18 games (0.00%)
  - 1500+11: 18 games (0.00%)
  - 1080+4: 17 games (0.00%)
  - 10800+4: 17 games (0.00%)
  - 8100+30: 17 games (0.00%)
  - 720+13: 17 games (0.00%)
  - 480+90: 17 games (0.00%)
  - 5400+45: 17 games (0.00%)
  - 1500+35: 17 games (0.00%)
  - 4500+45: 17 games (0.00%)
  - 360+17: 17 games (0.00%)
  - 2400+2: 16 games (0.00%)
  - 1080+2: 16 games (0.00%)
  - 1800+120: 16 games (0.00%)
